Bucket label,m/z,Neutral Mass,Matched HMDB IDs,Matched HMDB names,Matched HMDB formulas,HMDB match count,Has Match?,THP1_1,THP1_2,THP1_3,THP1_4,THP1_5,THP1_6,THP1_7,Ecoli_1,Ecoli_2,Ecoli_3,Ecoli_4,Ecoli_5,Ecoli_6,Ecoli_7
106.07482354801107 Da,107.0821,106.07482354801107,,,,,False,6.383653939327865e-05,5.9576721452993436e-05,5.163583993721998e-05,6.625748643141372e-05,6.453164837557744e-05,5.851594731463734e-05,5.322609158801345e-05,,5.3633897089362044e-05,4.9928552911165034e-05,4.4165509452163156e-05,3.0756370279046175e-05,6.366676755807489e-05,5.3281180949573366e-05
106.72194354801107 Da,107.72922,106.72194354801107,,,,,False,,,,5.578396474129857e-05,,,,,,3.75997408121155e-05,,,,8.791106274745918e-05
106.72245854801108 Da,107.729735,106.72245854801108,,,,,False,,,3.64631658777711e-05,,,,3.1895765948851937e-05,,,,,,,
106.72734854801107 Da,107.734625,106.72734854801107,,,,,False,,4.601715415612526e-05,,3.83405513078021e-05,,,,,,,,,,
106.73807354801107 Da,107.74535,106.73807354801107,,,,,False,,,3.0745336570713416e-05,,0.00018523108887075676,8.687198099843423e-05,0.0001810089815690304,0.00023590389401448506,0.00023514431740971506,0.00022392451516912637,7.05907826294486e-05,8.039515403901187e-05,3.7922264228199535e-05,8.149698098273606e-05
106.75430354801108 Da,107.76158000000001,106.75430354801108,,,,,False,,6.227892129095023e-05,,,,4.288015788433154e-05,3.354773864972042e-05,3.712392462703888e-05,,,,,,
106.77042354801107 Da,107.7777,106.77042354801107,,,,,False,,,,,,3.831460228826603e-05,,4.376570414519146e-05,3.180266556580886e-05,,,,,
107.38223354801107 Da,108.38951,107.38223354801107,,,,,False,3.208362653364976e-05,3.204907928932348e-05,,,,,3.3701396124348385e-05,,,,,,,
107.39438354801108 Da,108.40166,107.39438354801108,,,,,False,7.610987853641099e-05,,7.954587956950504e-05,7.220258348959541e-05,6.901178194781664e-05,7.636411898631347e-05,8.377362635561032e-05,2.8610324067962368e-05,3.0451391229062588e-05,,,,,
107.40654354801107 Da,108.41382,107.40654354801107,,,,,False,8.13383844859419e-05,7.630110685345898e-05,7.948810400198647e-05,7.455980152114899e-05,8.12006031173169e-05,7.018318104566784e-05,7.867057824319056e-05,,,,,,,
